City_Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saipan,15.1355,145.701,28.39,78,40,8.75,MP,1699737548
83,midvagur,62.0511,-7.1939,2.46,87,20,1.54,FO,1699737548
84,codrington,-38.2667,141.9667,13.21,58,96,4.58,AU,1699737548
85,morehead city,34.7229,-76.726,13.32,90,100,4.63,US,1699737481
86,srikakulam,18.3,83.9,21.86,80,4,2.62,IN,1699737548
87,usinsk,65.9939,57.5281,-4.4,92,100,4.47,RU,1699737548
88,port elizabeth,-33.918,25.5701,18.51,68,0,4.02,ZA,1699737480
89,invercargill,-46.4,168.35,16.68,56,100,7.15,NZ,1699737548
90,gizo,-8.103,156.8419,27.52,74,100,7.23,SB,1699737549
91,bilibino,68.0546,166.4372,-30.77,100,29,1.94,RU,1699737549
92,st. john's,47.5649,-52.7093,3.32,93,100,8.75,CA,1699737443
93,whangarei,-35.7317,174.3239,17.58,54,0,1.79,NZ,1699737549
94,preston,53.7667,-2.7167,5.38,88,10,3.12,GB,1699737549
95,tabou,4.423,-7.3528,25.67,87,51,2.73,CI,1699737549
96,al jawf,29.5,38.75,23.43,30,98,5.65,SA,1699737549
97,lensk,60.7253,114.9278,-8.45,76,99,6.62,RU,1699737549
98,cristalina,-16.7686,-47.6136,27.97,22,99,3.15,BR,1699737550
99,darwin,-12.4611,130.8418,27.19,83,75,2.06,AU,1699737357
100,maues,-3.3836,-57.7186,35.13,35,79,1.25,BR,1699737550
101,brookings,44.3114,-96.7984,11.92,52,0,4.12,US,1699737550
102,ilulissat,69.2167,-51.1,-6.99,42,100,3.6,GL,1699737550
103,jamestown,42.097,-79.2353,6.4,72,100,3.6,US,1699737427
104,kiunga,-6.1219,141.2906,22.38,92,46,0.92,PG,1699737550
105,la mira,18.035,-102.3266,29.81,66,6,3.68,MX,1699737551
106,formosa do rio preto,-11.0483,-45.1931,31.93,24,41,2.93,BR,1699737552
107,wynyard,-41.0,145.7167,11.41,69,33,4.68,AU,1699737552
108,gadzhiyevo,69.2551,33.3362,-6.19,97,92,2.73,RU,1699737552
109,fortuna,40.5982,-124.1573,18.85,60,0,2.57,US,1699737552
110,newman,37.3138,-121.0208,21.24,38,89,1.79,US,1699737552
111,cam ranh,11.9214,109.1591,25.98,89,40,2.06,VN,1699737552
112,arcachon,44.5875,-1.0519,17.03,94,100,9.26,FR,1699737553
113,cooma,-36.2333,149.1333,16.92,79,48,1.8,AU,1699737553
114,papao,-17.75,-149.55,30.82,76,78,5.95,PF,1699737553
115,puerto natales,-51.7236,-72.4875,7.25,52,91,5.31,CL,1699737553
116,hagere selam,6.4833,38.5167,8.58,98,100,1.73,ET,1699737553
117,talnakh,69.4865,88.3972,-6.55,94,100,3.86,RU,1699737553
118,timmins,48.4669,-81.3331,-2.1,86,100,1.54,CA,1699737441
119,college,64.8569,-147.8028,-9.03,84,75,2.57,US,1699737554
120,holualoa,19.6228,-155.9522,25.99,77,75,3.09,US,1699737554
121,zhezqazghan,47.7833,67.7667,3.89,92,99,6.64,KZ,1699737554
122,ojinaga,29.5667,-104.4167,14.53,77,100,3.6,MX,1699737554
123,burang,30.25,81.1667,-4.56,69,8,2.13,CN,1699737554
124,elhovo,42.1667,26.5667,11.23,65,100,3.07,BG,1699737554
125,bhattarai danda,27.8828,83.9314,15.43,84,0,1.94,NP,1699737554
126,georgetown,5.4112,100.3354,25.57,97,20,1.03,MY,1699737551
127,qaqortoq,60.7167,-46.0333,-3.16,71,50,4.09,GL,1699737554
128,miranda do douro,41.4969,-6.2731,14.34,91,100,8.54,PT,1699737555
129,rodino,52.5,80.25,3.63,81,100,6.07,RU,1699737555
130,roma,43.2128,-75.4557,3.86,64,100,6.17,US,1699737555
131,taulaga,-11.0553,-171.0883,28.48,74,26,3.03,AS,1699737555
132,mili,6.0815,171.735,28.38,81,100,8.33,MH,1699737555
133,walvis bay,-22.9575,14.5053,16.17,80,100,4.64,NA,1699737555
134,mount pearl,47.5166,-52.7813,2.86,92,100,8.75,CA,1699737555
135,haiku-pauwela,20.9219,-156.3051,28.43,55,40,9.77,US,1699737556
136,amga,60.8953,131.9608,-11.64,96,100,1.74,RU,1699737556
137,santa maria la alta,18.6,-97.6667,22.74,39,0,5.3,MX,1699737556
138,ke-macina,13.9623,-5.3572,29.54,18,1,3.92,ML,1699737556
139,smara,26.7384,-11.6719,25.47,21,28,3.73,EH,1699737556
140,chai buri,8.4622,99.0763,23.86,97,100,2.03,TH,1699737556
141,okhotsk,59.3833,143.3,-20.35,90,3,9.13,RU,1699737556
142,sterling,39.0062,-77.4286,14.64,51,20,3.58,US,1699737557
143,puerto ayora,-0.7393,-90.3518,28.98,88,79,4.47,EC,1699737557
144,chibougamau,49.9168,-74.3659,-3.21,74,100,2.57,CA,1699737364
145,island harbour,50.724,-1.2758,9.15,90,100,5.89,GB,1699737557
146,metlili chaamba,32.2667,3.6333,20.52,30,0,3.09,DZ,1699737557
147,taltal,-25.4,-70.4833,19.49,65,22,2.97,CL,1699737557
148,springbok,-29.6643,17.8865,11.86,69,7,2.49,ZA,1699737557
149,hirtshals,57.5881,9.9592,7.21,86,100,4.86,DK,1699737558
150,papatowai,-46.5619,169.4708,14.25,50,100,7.03,NZ,1699737558
151,aban,56.67,96.06,-13.45,95,10,1.39,RU,1699737558
152,ketchikan,55.3422,-131.6461,7.26,81,75,3.09,US,1699737558
153,hilo,19.7297,-155.09,27.38,85,100,3.6,US,1699737558
154,puerto baquerizo moreno,-0.9,-89.6,27.55,65,40,6.17,EC,1699737558
155,loch garman,52.3342,-6.4575,10.68,93,100,7.6,IE,1699737558
156,viedma,-40.8135,-62.9967,27.86,17,74,11.84,AR,1699737558
157,kodiak,57.79,-152.4072,2.73,52,100,8.75,US,1699737559
158,uturoa,-16.7333,-151.4333,27.2,81,95,5.36,PF,1699737559
159,harnosand,62.6323,17.9379,0.0,78,100,12.02,SE,1699737559
160,dzidzantun,21.25,-89.05,31.35,59,100,2.22,MX,1699737559
161,new norfolk,-42.7826,147.0587,12.18,67,95,1.96,AU,1699737559
162,porto novo,6.4965,2.6036,28.9,85,9,2.69,BJ,1699737560
163,kish,26.5578,54.0194,26.15,65,0,2.06,IR,1699737560
164,san jose,37.3394,-121.895,24.36,37,20,5.36,US,1699737334
165,rio grande,-32.035,-52.0986,24.06,83,50,5.98,BR,1699737560
166,yingkou,40.6648,122.2283,-4.55,62,6,3.38,CN,1699737560
167,yeppoon,-23.1333,150.7333,21.88,67,87,4.94,AU,1699737560
168,constantia,44.1833,28.65,9.38,75,57,9.36,RO,1699737560
169,illizi,26.4833,8.4667,18.89,28,0,2.13,DZ,1699737561
170,dongning,44.0622,131.1207,-14.04,89,15,2.55,CN,1699737561
171,kangding,30.0513,101.9603,6.37,94,91,1.43,CN,1699737561
172,rongelap,11.1635,166.8941,27.35,83,100,7.6,MH,1699737561
173,atafu village,-8.5421,-172.5159,28.72,76,64,3.69,TK,1699737561
174,taitung city,22.7583,121.1444,23.61,87,17,5.55,TW,1699737561
175,yanykurgan,43.915,67.2481,8.48,54,100,5.1,KZ,1699737562
176,clarksville,36.5298,-87.3595,17.1,34,0,6.17,US,1699737299
177,karacabey,40.2152,28.4038,15.21,71,100,8.14,TR,1699737562
178,kerikeri,-35.2268,173.9474,17.35,53,3,0.94,NZ,1699737562
179,dudinka,69.4058,86.1778,-6.32,96,100,4.02,RU,1699737562
180,travagliato,45.5191,10.0805,8.02,96,0,2.06,IT,1699737562
181,vorgashor,67.5833,63.95,-6.73,97,100,3.97,RU,1699737562
182,rumonge,-3.9736,29.4386,22.29,85,100,4.33,BI,1699737563
183,tazacorte,28.629,-17.9293,21.75,89,75,3.6,ES,1699737563
184,tamanrasset,22.785,5.5228,18.95,13,0,2.06,DZ,1699737563
185,inirida,3.8653,-67.9239,28.08,80,95,0.68,CO,1699737563
186,bintulu,3.1667,113.0333,24.23,94,20,0.0,MY,1699737563
187,lompoc,34.6391,-120.4579,28.8,27,0,6.17,US,1699737563
188,sovetskiy,61.3614,63.5842,-0.06,90,100,2.24,RU,1699737563
189,port alfred,-33.5906,26.891,17.88,84,28,1.79,ZA,1699737564
190,cadale,2.7603,46.3222,25.94,86,90,2.83,SO,1699737564
191,hasaki,35.7333,140.8333,10.22,70,100,7.38,JP,1699737564
192,peace river,56.2501,-117.286,8.17,57,75,7.2,CA,1699737313
193,hutang,31.5333,119.4833,8.71,88,100,4.97,CN,1699737564
194,isafjordur,66.0755,-23.124,1.12,87,100,2.45,IS,1699737564
195,huarmey,-10.0681,-78.1522,22.71,72,15,5.65,PE,1699737565
196,koniecpol,50.7747,19.689,5.89,80,100,3.25,PL,1699737565
197,kill devil hills,36.0307,-75.676,14.99,63,75,3.09,US,1699737565
198,troitsko-pechorsk,62.7084,56.1964,-4.61,98,66,1.34,RU,1699737565
199,daxing,39.7214,116.3292,0.98,22,27,3.11,CN,1699737565
200,beau vallon,-20.4189,57.6953,23.45,88,75,1.54,MU,1699737565
201,barah,13.7,30.3667,29.84,39,87,2.0,SD,1699737566
202,east london,-33.0153,27.9116,18.71,78,52,7.73,ZA,1699737566
203,shenjiamen,29.9576,122.298,15.62,78,100,7.51,CN,1699737566
204,al ghayzah,16.2079,52.176,27.44,70,100,2.77,YE,1699737360
205,dubovka,49.0583,44.829,5.53,70,100,5.65,RU,1699737566
206,hirara,24.8,125.2833,22.92,94,100,9.77,JP,1699737566
207,luderitz,-26.6481,15.1594,18.14,59,0,10.11,NA,1699737566
208,tambacounda,13.7539,-13.7586,26.03,69,100,1.03,SN,1699737567
209,lib,8.3122,167.3766,27.63,82,100,7.56,MH,1699737567
210,krasnyy chikoy,50.3643,108.7512,-15.51,97,46,1.11,RU,1699737567
211,okuchi-shinohara,32.0667,130.6167,13.38,83,100,2.22,JP,1699737567
212,masterton,-40.9597,175.6575,16.02,60,12,3.45,NZ,1699737567
213,quepos,9.4236,-84.1652,27.7,82,98,1.87,CR,1699737567
214,fairfield,41.2668,-73.3162,10.66,57,100,3.09,US,1699737489
215,kodinsk,58.6881,99.1844,-14.2,97,14,1.2,RU,1699737568
216,alpena,45.0617,-83.4327,4.18,66,0,3.6,US,1699737568
217,nagqu,31.5,92.0,-5.31,66,100,4.73,CN,1699737568
218,kannangad,12.3081,75.1063,24.45,78,34,2.13,IN,1699737568
219,anadyr,64.75,177.4833,-16.72,84,20,3.0,RU,1699737568
220,sitangkai,4.6628,119.3928,28.16,77,44,3.27,PH,1699737568
221,onega,63.9061,38.1404,-3.01,92,98,2.03,RU,1699737568
222,broken hill,-31.95,141.4333,17.78,30,27,7.79,AU,1699737569
223,tekirdag,40.978,27.5085,16.64,68,100,5.11,TR,1699737569
224,santa cruz del sur,20.7147,-77.9956,31.04,62,26,5.85,CU,1699737569
225,golfito,8.639,-83.166,27.12,90,100,1.59,CR,1699737569
226,pakxan,18.3778,103.6601,22.08,97,67,1.48,LA,1699737569
227,tadine,-21.55,167.8833,23.12,64,68,9.27,NC,1699737569
228,saldanha,-33.0117,17.9442,16.03,86,0,3.65,ZA,1699737570
229,amvrosiyivka,47.7935,38.4777,8.49,55,100,7.2,UA,1699737570
230,mejit,10.2753,170.8646,27.94,80,100,7.53,MH,1699737570
231,happy valley-goose bay,53.3168,-60.3315,-2.83,74,75,1.03,CA,1699737537
232,vredendal,-31.6683,18.5012,14.82,90,0,3.58,ZA,1699737570
233,monteria,8.748,-75.8814,28.88,86,100,2.43,CO,1699737570
234,hadibu,12.65,54.0333,26.59,85,100,6.05,YE,1699737571
235,dera bugti,29.0307,69.151,18.39,40,17,2.15,PK,1699737571
236,kununurra,-15.7667,128.7333,23.99,94,52,2.57,AU,1699737571
237,isla vista,34.4133,-119.861,28.89,24,0,2.06,US,1699737571
238,tuszyn,51.6095,19.5301,4.98,94,100,1.54,PL,1699737571
239,inari,68.906,27.0288,-14.89,100,92,1.25,FI,1699737571
240,stanley,54.868,-1.6985,4.6,95,75,1.03,GB,1699737571
241,itoman,26.1247,127.6694,20.21,94,75,7.72,JP,1699737567
242,talara,-4.5772,-81.2719,26.42,61,0,5.66,PE,1699737393
243,arraial do cabo,-22.9661,-42.0278,24.92,83,0,6.17,BR,1699737572
244,santarem,-2.4431,-54.7083,32.07,62,0,5.14,BR,1699737572
245,colonia,50.9333,6.95,6.6,88,75,1.54,DE,1699737347
246,enewetak,11.3474,162.3373,28.22,76,76,6.89,MH,1699737572
247,ambovombe,-25.1667,46.0833,20.19,71,0,7.39,MG,1699737573
248,susuman,62.7833,148.1667,-33.52,100,82,0.21,RU,1699737573
249,zarghun shahr,32.8473,68.4457,4.33,37,16,1.55,AF,1699737573
250,selfoss,63.9331,-20.9971,1.69,86,100,3.66,IS,1699737573
251,salinopolis,-0.6136,-47.3561,27.65,75,11,6.22,BR,1699737573
252,nyurba,63.2842,118.3319,-10.78,91,72,3.22,RU,1699737574
253,remire-montjoly,4.9167,-52.2667,27.58,80,7,6.03,GF,1699737574
254,coahuayana de hidalgo,18.7,-103.6583,31.22,61,36,2.37,MX,1699737574
255,verkhniy baskunchak,48.2256,46.7217,5.61,68,100,4.26,RU,1699737575
256,lodwar,3.1191,35.5973,28.3,55,32,6.9,KE,1699737576
257,maba,24.6841,113.5984,15.55,25,100,2.05,CN,1699737576
258,recani,31.2846,-4.2688,20.81,26,0,1.83,MA,1699737576
259,praia da vitoria,38.7333,-27.0667,20.14,83,20,5.19,PT,1699737576
260,carauari,-4.8828,-66.8958,33.09,52,90,0.71,BR,1699737576
261,khanty-mansiysk,61.0042,69.0019,1.06,100,100,2.0,RU,1699737295
262,kourou,5.1552,-52.6478,27.48,80,7,5.02,GF,1699737576
263,bladel,51.3683,5.2208,6.52,96,100,3.37,NL,1699737577
264,essaouira,31.5125,-9.77,21.72,56,74,2.06,MA,1699737577
265,vila velha,-20.3297,-40.2925,26.97,85,0,4.63,BR,1699737577
266,constitucion,-35.3333,-72.4167,10.49,81,100,4.29,CL,1699737475
267,kayangel,8.0823,134.7173,27.96,80,100,3.71,PW,1699737577
268,palmer,42.1584,-72.3287,8.25,50,0,4.63,US,1699737577
269,ourem,39.6417,-8.5919,17.56,96,96,3.12,PT,1699737577
270,tshabong,-26.05,22.45,28.96,25,99,5.43,BW,1699737578
271,rio branco do sul,-25.19,-49.3142,32.04,56,68,0.15,BR,1699737578
272,tabina,7.4669,123.4081,26.29,84,92,1.81,PH,1699737578
273,pelabuhanratu,-6.9875,106.5514,25.01,88,93,1.57,ID,1699737578
274,nedroma,35.0136,-1.748,16.64,76,7,0.9,DZ,1699737578
275,flying fish cove,-10.4217,105.6791,24.82,83,75,4.12,CX,1699737578
276,gulsehir,38.7459,34.6252,13.18,44,0,4.12,TR,1699737578
277,walsrode,52.8667,9.6,7.83,91,100,4.23,DE,1699737579
278,humaita,-7.5061,-63.0208,35.74,37,79,0.78,BR,1699737579
279,kingston,17.997,-76.7936,30.69,74,29,3.13,JM,1699737442
280,infantes,38.7367,-3.0122,11.68,90,100,5.11,ES,1699737579
281,olonkinbyen,70.9221,-8.7187,1.11,92,100,5.01,SJ,1699737579
282,mangaratiba,-22.9597,-44.0406,24.72,82,45,1.38,BR,1699737579
283,mikhaylovsk,45.1283,42.0256,9.32,76,0,7.15,RU,1699737580
284,carutapera,-1.195,-46.02,27.14,73,28,4.14,BR,1699737580
285,floro,61.5996,5.0328,5.54,75,33,4.12,NO,1699737580
286,west bay,19.3667,-81.4167,31.04,80,20,6.17,KY,1699737580
287,jian'ou,27.0469,118.3253,15.68,98,100,1.14,CN,1699737580
288,vilyuchinsk,52.9306,158.4028,1.15,72,66,15.76,RU,1699737580
289,nikolayevsk-on-amure,53.1406,140.73,-11.74,85,97,4.76,RU,1699737581
290,tangalle,6.024,80.7911,25.25,90,100,1.57,LK,1699737581
291,caburan,5.9181,125.6411,26.49,79,76,2.71,PH,1699737581
292,nagato,34.3833,131.2,13.01,72,100,6.22,JP,1699737581
293,samana,19.2056,-69.3369,26.12,94,75,3.09,DO,1699737581
294,tutong,4.8,114.65,25.05,90,100,1.6,BN,1699737581
295,tsiombe,-25.3,45.4833,20.72,68,0,7.24,MG,1699737581
296,alice springs,-23.7,133.8833,25.75,57,6,3.6,AU,1699737291
297,mandalgovi,45.7625,106.2708,-9.69,40,0,3.46,MN,1699737582
298,bratsk,56.1325,101.6142,-11.73,81,7,1.99,RU,1699737582
299,waddan,29.1614,16.139,22.36,24,0,1.78,LY,1699737582
300,saint-philippe,-21.3585,55.7679,22.77,85,25,4.58,RE,1699737582
301,palapag,12.5458,125.1147,25.49,89,50,1.83,PH,1699737582
302,santa cruz,-17.8,-63.1667,36.7,43,20,10.29,BO,1699737304
303,sekong,-6.3996,106.0252,23.5,93,87,0.91,ID,1699737582
304,pamandzi,-12.7967,45.2794,26.88,83,0,1.54,YT,1699737583
305,thakhek,17.4103,104.8307,22.57,89,7,1.34,LA,1699737583
306,severo-yeniseyskiy,60.3725,93.0408,-6.9,95,100,0.89,RU,1699737583
307,naze,28.3667,129.4833,15.51,85,98,6.26,JP,1699737583
308,boyolangu,-8.1181,111.8935,24.23,90,66,1.49,ID,1699737583
309,zhanaozen,43.3,52.8,7.23,67,6,3.26,KZ,1699737583
